일자,시가,고가,저가,종가,거래량
19990916,11500,12500,11500,11900,258700
19990917,12450,12450,11000,12000,179200
19990920,12000,12200,11700,11800,127920
19990921,11700,11950,11350,11600,115440
19990922,11300,11700,10800,11250,190120
19990927,11000,11000,10500,10500,66150
19990928,10500,10700,9900,10000,114380
19990929,10000,10000,9550,9790,108950
19990930,9770,10250,9250,9500,95320
19991001,9300,9500,8750,9100,99610
19991004,9100,9300,8790,8790,104780
19991005,8790,9000,7480,7800,141130
19991006,7800,8320,7650,8250,131340
19991007,8250,8780,8200,8700,151540
19991008,8750,9170,8600,9020,136950
19991011,8990,9280,8920,9060,136490
19991012,8700,9150,8700,9050,126050
19991013,9050,9140,8900,9040,120080
19991014,8900,9240,8850,9180,131670
19991015,9290,9440,9190,9300,140410
19991018,9010,9100,8680,8800,89920
19991019,9290,9290,8800,8960,205180
19991020,9450,10300,9150,10300,468940
19991021,10700,10800,10000,10350,718440
19991022,10250,10450,9800,10200,176380
19991025,10100,10400,9840,9900,121490
19991026,9500,9850,9300,9460,129570
19991027,9130,9540,9060,9200,122500
19991028,9030,9400,9010,9400,120240
19991029,9700,10400,9600,9750,331400
19991101,9600,10200,9600,9680,191560
19991102,9850,9900,9600,9700,153320
19991103,9400,10500,9400,9900,349830
19991104,10200,10300,9910,10250,227610
19991105,10200,10300,9900,9910,173590
19991108,10000,10000,9500,9560,182910
19991109,9510,9780,9500,9750,123080
19991110,9800,9880,9500,9500,169520
19991111,9320,9500,9150,9300,202530
19991112,9350,9350,8910,8910,252650
19991115,8910,9090,8700,8900,169400
19991116,9000,9200,8890,9000,161500
19991117,9000,9200,8410,8420,156970
19991118,8350,8680,8170,8270,92570
19991119,8410,8580,8300,8410,128950
19991122,8500,8600,8330,8330,97330
19991123,8300,8300,8010,8060,108840
19991124,8000,8150,7800,7820,117890
19991125,7760,7900,7520,7560,203640
19991126,7200,7560,6900,6900,176260
19991129,7100,7100,6800,7020,81480
19991130,6820,7300,6820,7110,129590
19991201,7300,7300,7000,7000,80440
19991202,7010,7800,7000,7400,171120
19991203,7780,7780,7410,7550,118750
19991206,7700,7710,7200,7340,143200
19991207,7340,7340,6650,6650,105000
19991208,6260,6800,6050,6780,96210
19991209,6680,6790,6400,6400,110080
19991210,6450,7200,6450,6900,133240
19991213,7190,7580,6920,7390,158770
19991214,7510,8390,7300,7950,225120
19991215,7520,7900,7250,7300,121870
19991216,7330,7730,7050,7200,102770
19991217,7200,7300,6800,6900,84560
19991220,6900,6900,6560,6600,117110
19991221,6700,6700,6300,6300,104480
19991222,6380,6470,6000,6360,140240
19991223,6210,6500,6050,6050,98120
19991224,6150,6500,6150,6360,74030
19991227,6500,6650,6290,6290,76310
19991228,6500,6500,6060,6210,75440
20000104,6050,6500,5620,6300,117660
20000105,6010,6400,5960,6220,148350
20000106,6250,6340,5770,5800,98120
20000107,5600,6000,5600,5850,89740
20000110,6000,6080,5800,5810,80480
20000111,5600,5850,5550,5560,88110
20000112,5570,5770,5410,5410,83250
20000113,5350,5900,5350,5790,127910
20000114,5870,6300,5710,6170,223490
20000117,6000,6520,5830,5900,184990
20000118,6000,6000,5600,5600,109950
20000119,5550,5900,5400,5550,117480
20000120,5400,5500,5110,5210,79610
20000121,5050,5370,5020,5200,103050
20000124,5110,5410,5100,5260,76390
20000125,5110,5400,5100,5150,51930
20000126,5300,5500,5160,5500,143240
20000127,5770,6320,5770,6320,151260
20000128,6420,6750,5950,6000,450910
20000131,5970,6250,5900,6130,164220
20000201,6500,6500,6150,6250,159320
20000202,6300,6700,6150,6600,227780
20000203,6680,7400,6600,6900,261140
20000207,7100,7250,6900,6910,135520
20000208,6910,6910,6510,6650,122630
20000209,6650,6650,6320,6500,80270
20000210,6350,6400,6200,6210,81840
20000211,6220,6300,5920,6050,54860
20000214,6050,6050,5620,5750,71940
20000215,5900,5900,5500,5800,47270
20000216,5890,6100,5650,5900,46510
20000217,6000,6090,5800,6000,58130
20000218,6180,6200,5860,5910,91600
20000221,5890,5890,5350,5360,41810
20000222,5290,5650,5030,5630,88510
20000223,6000,6400,5650,6150,140360
20000224,6240,6570,6100,6480,171660
20000225,6390,7450,6200,7000,250180
20000228,6800,7850,6700,7470,304820
20000229,7990,8590,7400,8590,678970
20000302,8990,9870,8780,9870,294970
20000303,11350,11350,8390,8390,1310510
20000306,8580,9640,8440,9640,242670
20000307,11000,11050,9030,9650,846890
20000308,9640,10350,8650,9590,431710
20000309,9800,9840,9060,9260,378550
20000310,9500,10000,8900,9050,409450
20000313,9210,10150,8910,9700,508630
20000314,10000,10150,9500,9850,312270
20000315,10300,10700,9310,9500,461630
20000316,9590,9690,8400,8690,272250
20000317,8750,8760,7860,7880,227090
20000320,7880,8400,7650,8000,184160
20000321,7900,8000,7410,7410,144540
20000322,7610,7870,7450,7630,156050
20000323,7670,8410,7670,8000,271440
20000324,8100,8510,7720,8300,260540
20000327,8500,8580,8100,8200,1112050
20000328,8400,9430,8210,8900,1444730
20000329,9000,9000,8300,8450,208920
20000330,8390,8600,8090,8090,153240
20000331,7520,8250,7520,8150,114370
20000403,9300,9370,9300,9370,330010
20000404,9450,9770,8200,8500,508390
20000406,8410,8500,8200,8400,165300
20000407,8250,8690,8250,8370,215590
20000410,9620,9620,9100,9620,402070
20000411,9900,10500,9000,9060,647500
20000412,9150,9900,8800,9540,294240
20000414,8500,9990,8500,9350,188000
20000417,8220,8900,8050,8100,225810
20000418,8880,9000,8250,8500,106270
20000419,8600,8860,8590,8600,138810
20000420,8500,8890,8500,8710,156100
20000421,9000,9000,8700,8800,77430
20000424,9000,10100,9000,10100,496160
20000425,10200,10600,9300,9560,693560
20000426,9750,9800,9050,9150,266580
20000427,8930,10000,8920,9540,343540
20000428,9800,10750,9500,10250,698980
20000502,10500,11650,10250,10800,708580
20000503,10700,10900,10300,10550,289880
20000504,10600,11300,10400,10650,366260
20000508,11950,12000,10250,10250,505810
20000509,9810,9950,9400,9420,305610
20000510,9420,9770,9000,9150,291300
20000512,8900,9130,8550,8640,236030
20000515,8500,8600,7640,7700,220180
20000516,7700,8300,7600,7990,216750
20000517,8100,8300,7100,7350,187410
20000518,6800,7200,6550,6920,180290
20000519,7000,7200,6500,7100,117020
20000522,6550,6980,6510,6550,99350
20000523,6310,6640,6220,6300,96400
20000524,6020,7100,5910,7000,149320
20000525,7100,7950,7000,7580,173230
20000526,7290,7290,6600,6600,116050
20000529,6510,6950,6510,6860,69890
20000530,6860,7280,6860,7180,91320
20000531,7300,7600,7180,7210,256400
20000601,7440,7440,6960,7100,145240
20000602,7390,8050,7300,7850,422220
20000605,9020,9020,8800,9020,282500
20000607,10350,10350,9800,10350,316420
20000608,11000,11450,9060,9700,1049660
20000609,9400,9510,8800,9200,522030
20000612,9000,9900,8920,9700,537280
20000613,9000,9500,8310,8350,340810
20000614,8400,9400,8100,8560,437830
20000615,8210,8500,7300,7400,281860
20000616,7500,7800,7050,7800,165560
20000619,7250,7990,7250,7500,109140
20000620,7500,7900,7500,7700,160870
20000621,8100,8200,7800,7800,218700
20000622,7990,8030,7700,7900,150420
20000623,7700,7900,7700,7800,73140
20000626,8100,8100,7810,7880,91580
20000627,7900,7980,7770,7840,118400
20000628,7910,8200,7840,7870,159000
20000629,7980,8060,7770,7940,117440
20000630,7940,8450,7850,8060,138710
20000703,8150,8190,8000,8140,116580
20000704,8500,8700,8300,8350,250030
20000705,8300,8480,7900,8100,139680
20000706,8000,8180,7910,8000,93420
20000707,8000,8350,7930,8130,151490
20000710,8500,8950,8300,8400,249580
20000711,8590,8590,8000,8050,157780
20000712,8290,8290,7900,8020,90410
20000713,8020,8120,7770,7800,87170
20000714,7760,8090,7760,7780,81690
20000718,7900,7900,7660,7700,74110
20000719,7690,7750,7540,7600,121170
20000720,7320,7490,7000,7130,97080
20000721,7350,7350,6900,7100,95190
20000724,7650,8000,7100,7130,179950
20000725,7000,7300,6810,7000,87710
20000726,7000,7180,6850,7120,100260
20000727,7200,7800,7020,7160,257020
20000728,7400,7400,6870,6950,92160
20000731,7000,7000,6700,6910,71710
20000801,6920,7150,6830,7040,74620
20000802,6910,7240,6910,7090,65990
20000803,7000,7420,7000,7170,154610
20000804,7500,7500,7010,7040,79680
20000807,6950,6950,6690,6700,48760
20000808,6500,6840,6500,6690,42460
20000809,6700,6880,6620,6750,56760
20000810,6650,6900,6630,6900,60400
20000811,6950,7070,6800,6860,80370
20000814,7100,7260,6960,7100,88160
20000816,7200,7350,7150,7210,83970
20000817,7400,7630,7210,7300,122870
20000818,7300,7390,7100,7140,61450
20000821,7050,7100,6920,6920,40520
20000822,6850,6980,6810,6880,51440
20000823,6880,6950,6800,6810,55440
20000824,6900,6900,6650,6750,46400
20000825,6950,6950,6750,6930,74750
20000828,7300,7400,7160,7350,141790
20000829,7400,7450,7110,7150,96680
20000830,7200,7300,7060,7060,56380
20000831,7060,7140,6860,6900,76730
20000901,6900,7050,6900,6960,57020
20000904,6910,7250,6900,7150,116220
20000905,7160,7270,6960,6980,45550
