일자,시가,고가,저가,종가,거래량
19990916,11813,13875,11813,13875,244458
19990917,13125,14625,12234,14344,164042
19990920,14719,15000,13781,13969,105994
19990921,14344,14344,13406,13875,86154
19990922,13875,14438,12938,13453,75296
19990927,12984,13781,12516,12703,66954
19990928,12797,14250,12375,12891,130826
19990929,12891,13219,12375,12375,25621
19990930,12375,12375,11156,11250,23626
19991001,10125,11250,9938,10031,60341
19991004,10219,11531,10219,10500,75925
19991005,10688,11531,10313,10313,59829
19991006,10500,10781,10266,10641,29429
19991007,10359,10922,10125,10688,47936
19991008,10875,11484,10688,10781,45920
19991011,10969,11344,10781,10922,23264
19991012,11063,11344,10828,11063,35349
19991013,10969,12656,10828,12656,61408
19991014,13031,13406,12047,12047,65290
19991015,11766,12469,11672,11766,26528
19991018,11719,11719,11063,11063,68330
19991019,11250,11531,10828,11063,28864
19991020,11063,11906,11063,11719,51818
19991021,11484,11906,11344,11531,19989
19991022,11531,11906,11391,11766,38442
19991025,12188,12844,12047,12188,88938
19991026,12281,12422,11813,12422,41557
19991027,12188,13500,12000,12563,97685
19991028,12375,13078,12375,12703,71925
19991029,12750,13688,12469,12844,148672
19991101,12844,13125,12656,12891,38058
19991102,12844,13031,12563,12891,51754
19991103,12938,13500,12750,13406,76416
19991104,13500,13781,13125,13594,63424
19991105,13594,15188,13125,14250,167445
19991108,14250,14344,13781,14250,64714
19991109,14344,14906,13969,14156,90976
19991110,14531,14906,14250,14531,102176
19991111,14719,14719,14063,14344,63658
19991112,14109,14250,13219,13219,89536
19991115,12750,13219,12375,12516,54005
19991116,12609,12609,11906,12141,82026
19991117,12141,12188,11250,11531,78346
19991118,11250,12281,11063,12141,50528
19991119,12375,13313,11906,12891,75498
19991122,13313,13500,12750,13359,43861
19991123,13219,14344,13125,13781,99701
19991124,13594,13594,12750,12938,39477
19991125,12750,12938,12281,12703,43242
19991126,12750,14578,12750,14578,185632
19991129,14531,15375,13594,13875,124181
19991130,13781,14625,13172,13781,104650
19991201,13313,13781,12656,12703,48682
19991202,12844,13594,12656,12938,60714
19991203,13313,13313,12656,12797,38005
19991206,12469,12938,11906,12000,62165
19991207,12844,12844,11438,11438,49706
19991208,11531,11625,11063,11250,31509
19991209,11250,12375,10875,12375,40064
19991210,12375,12656,11813,12188,23328
19991213,11906,12563,11813,11813,32426
19991214,12469,12469,11484,12188,39424
19991215,11953,12375,11625,11719,21237
19991216,11813,12141,11250,11531,30218
19991217,11438,11625,11156,11250,29130
19991220,11063,12375,11063,11906,35797
19991221,11719,12375,11344,11719,23648
19991222,11344,11719,10781,11297,29482
19991223,11016,11438,10875,11250,24714
19991224,11063,11250,10688,11016,11658
19991227,10781,12000,10406,12000,34464
19991228,12188,12375,10781,11250,41280
20000104,11063,11063,10641,10875,12864
20000105,11063,11531,10875,10875,30730
20000106,11250,12469,10594,12469,51136
20000107,12563,14063,11813,13125,212885
20000110,13406,13875,12656,12844,58400
20000111,12656,12984,12188,12375,29162
20000112,11813,12938,11719,12656,29909
20000113,12188,13500,12188,12938,52896
20000114,13125,13125,12094,12094,29184
20000117,12375,12375,11250,11625,33397
20000118,11625,11906,11063,11063,49888
20000119,11250,11719,10125,10313,53290
20000120,9938,9938,8906,9375,37269
20000121,9422,10266,8841,9328,28629
20000124,9844,9844,8906,9000,36128
20000125,8906,8916,7969,8250,51210
20000126,8063,8578,7547,7688,28480
20000127,7688,8156,7509,7800,27136
20000128,7969,8606,7903,7969,32256
20000131,7706,7922,7622,7819,20597
20000201,7969,8016,7641,7969,28202
20000202,7969,8531,7922,8531,36597
20000203,8719,8906,8156,8391,42272
20000207,8906,8906,8250,8288,38037
20000208,8166,8438,7875,7875,49024
20000209,7706,7959,7500,7734,66325
20000210,7781,7781,7406,7406,36746
20000211,7228,7397,6844,6909,38858
20000214,6938,6938,6159,6159,23114
20000215,5250,5906,5241,5625,41472
20000216,5644,6375,5644,5813,48394
20000217,6000,6019,5634,5803,22282
20000218,5813,6000,5166,5166,32906
20000221,5166,5166,4406,4406,56960
20000222,4434,5063,4434,4922,43018
20000223,4547,5606,4547,5241,48661
20000224,5400,5400,4683,4744,26122
20000225,4688,4959,4416,4828,34805
20000228,5109,5531,4594,5241,52010
20000229,5297,6019,5297,6019,64672
20000302,6919,6919,6919,6919,25674
20000303,7950,7950,7031,7734,126549
20000306,7734,8147,6581,7734,93034
20000307,7500,7641,6581,6581,70730
20000308,6581,6938,6094,6234,80053
20000309,6094,6750,6094,6516,65600
20000310,6563,6928,6356,6384,46602
20000313,6384,6844,6384,6834,59370
20000314,7313,7406,6478,6478,43754
20000315,6581,6656,6188,6469,17546
20000316,6488,6900,6103,6319,25600
20000317,6281,6609,6141,6281,17386
20000320,6113,6750,6094,6094,26229
20000321,6113,6178,5822,5822,25354
20000322,5831,6094,5813,5925,29322
20000323,6000,6000,5719,5719,20490
20000324,5747,5981,5634,5794,29056
20000327,5859,6000,5719,5775,28682
20000328,5916,6281,5859,6281,45568
20000329,6103,6234,5869,5878,26944
20000330,6375,6375,5831,5906,29600
20000331,6019,6141,5625,5859,31605
20000403,5719,5897,5513,5616,30485
20000404,5250,5616,5250,5522,16128
20000406,5297,5531,4969,5063,19125
20000407,4884,5531,4884,5344,15552
20000410,5344,5588,5250,5353,31989
20000411,5297,5438,5156,5438,29642
20000412,5438,5625,5344,5484,20800
20000414,5269,5625,5259,5625,29973
20000417,5344,5531,5063,5156,23690
20000418,5438,5438,4969,5250,26794
20000419,5250,5813,5250,5484,35050
20000420,5484,5691,5259,5691,37429
20000421,5691,6281,5691,6141,118410
20000424,5953,6122,5831,6094,40832
20000425,6188,6881,5906,6563,180768
20000426,6572,7219,6553,6553,118272
20000427,6469,6469,5934,6281,62986
20000428,6563,6563,6094,6103,22133
20000502,5953,6103,5766,5813,44149
20000503,5719,5859,5531,5531,32224
20000504,5344,5672,5344,5363,29578
20000508,5625,5625,5438,5484,39658
20000509,5503,5766,5438,5634,46538
20000510,5672,5672,4791,5250,22293
20000512,5156,5250,4997,5063,24768
20000515,5063,5063,4781,4875,22101
20000516,4875,5231,4828,4828,9610
20000517,4875,5484,4866,4875,16896
20000518,4791,4791,4219,4575,9930
20000519,4547,5156,4219,4922,17514
20000522,5016,5016,4547,4594,8202
20000523,4275,4500,3905,4144,16853
20000524,4406,4406,3984,4359,15946
20000525,4444,4866,4275,4688,20853
20000526,4406,4744,4359,4406,21045
20000529,4219,4313,4134,4308,10741
20000530,4134,4589,4134,4369,12949
20000531,4313,4650,4313,4641,27893
20000601,4791,4922,4594,4734,12544
20000602,4781,4866,4598,4613,25205
20000605,4697,4875,4594,4688,40832
20000607,4781,4969,4552,4884,53962
20000608,4884,4978,4706,4706,34773
20000609,4613,4725,4406,4416,23658
20000612,4406,4641,4284,4406,37621
20000613,4491,4491,4242,4256,41141
20000614,4406,4406,4172,4195,30005
20000615,4294,4294,4116,4214,21301
20000616,4209,4838,4031,4125,210058
20000619,4734,4734,4144,4177,74336
20000620,4266,4266,3956,4031,57162
20000621,4078,4097,3914,3914,56522
20000622,3933,3984,3848,3928,52245
20000623,3914,3923,3858,3914,26496
20000626,3914,4031,3900,3975,36853
20000627,3984,4125,3952,4045,51861
20000628,4172,4650,4017,4650,136960
20000629,5119,5250,4444,4556,206624
20000630,4448,4594,4172,4223,40650
20000703,4223,4355,4191,4284,27658
20000704,4313,4659,4284,4439,60128
20000705,4575,4575,4280,4331,46645
20000706,4331,4481,4219,4331,41141
20000707,4453,4734,4331,4547,104544
20000710,4800,4875,4688,4688,95669
20000711,4706,4866,4584,4613,32362
20000712,4613,4688,4509,4641,42314
20000713,4650,4650,4420,4420,25664
20000714,4458,4791,4406,4791,62666
20000718,4655,5503,4655,5138,139082
20000719,5288,5344,4716,4866,72789
20000720,4594,4941,4144,4214,177728
20000721,4144,4219,4078,4097,46698
20000724,4106,4186,3947,3947,29728
20000725,3713,4078,3713,4069,32469
20000726,3947,4341,3938,4238,47552
20000727,4584,4594,4247,4261,36640
20000728,4261,4388,3984,4041,25045
20000731,4041,4294,4041,4219,14378
20000801,4125,4406,4031,4266,26698
20000802,4214,4388,4106,4261,24714
20000803,4219,4313,4172,4205,33984
20000804,4200,4294,4031,4125,23904
20000807,4214,4214,4013,4031,19882
20000808,3984,4144,3984,4031,21258
20000809,4106,4322,4022,4088,21205
20000810,4214,4214,4013,4078,29696
20000811,4036,4313,4022,4158,39701
20000814,4303,4538,4228,4509,43274
20000816,4659,4856,4641,4809,87594
20000817,4828,4828,4547,4753,36544
20000818,4781,5456,4706,5156,157141
20000821,5156,5250,4931,5203,59050
20000822,5156,5981,5109,5981,199776
20000823,6019,6863,5981,6000,367669
20000824,5859,6328,5625,6234,102517
20000825,6356,6375,6009,6272,80000
20000828,6113,6309,5719,5953,72330
20000829,5859,6000,5550,5803,38730
20000830,5719,5822,5391,5813,37738
20000831,5813,6000,5578,5747,49290
20000901,5934,6600,5906,6600,174496
20000904,6675,6947,6291,6291,153653
20000905,6188,6938,6047,6750,75029
20000906,6741,7500,6581,6750,118378
20000907,6750,6834,6469,6563,106218
20000908,6806,6844,5953,6375,67968
20000914,6375,6553,5822,6019,52480
20000915,5822,6263,5719,5859,71136
20000918,5813,5813,4988,5063,37280
20000919,4688,5241,4688,5213,39125
20000920,4875,5625,4875,5372,49674
20000921,5259,5438,5016,5016,43392
20000922,5034,5222,4594,4594,49845
20000925,4791,4969,4416,4969,39658
20000926,4636,4950,4406,4406,57802
20000927,4406,5006,4406,4959,62357
20000928,4744,4959,4650,4688,52650
20000929,4828,4828,4556,4678,21760
20001002,4678,4903,4594,4716,45280
20001004,4641,4884,4509,4809,51541
20001005,4636,4828,4636,4697,32181
20001006,4683,4828,4645,4791,22197
20001009,4875,4875,4688,4706,19978
20001010,4650,4819,4650,4772,20138
