일자,시가,고가,저가,종가,거래량
19990916,6240,6326,6066,6084,385520
19990917,5893,6032,5806,5850,378147
19990920,5850,6283,5850,6066,405575
19990921,5962,6153,5962,6066,313505
19990922,5988,6014,5815,5936,244270
19990927,5824,6023,5806,5893,235778
19990928,5815,5962,5468,5468,270129
19990929,5373,5373,5044,5113,423230
19990930,5113,5204,4822,4904,202713
19991001,4677,4813,4459,4677,264441
19991004,4450,5068,4450,4768,177872
19991005,4632,4986,4550,4550,133277
19991006,4550,4813,4523,4732,190700
19991007,4759,5440,4759,5440,255643
19991008,5676,6176,5267,5304,534025
19991011,5431,5558,5186,5286,170032
19991012,5286,5449,5158,5349,185756
19991013,5231,5404,5177,5304,214187
19991014,5267,5722,5267,5540,269066
19991015,5540,5676,5313,5395,172223
19991018,5358,5585,5267,5267,183190
19991019,5358,5494,5049,5131,117796
19991020,5177,5449,5177,5267,152249
19991021,5277,5431,5095,5122,149221
19991022,5140,5286,5140,5186,139036
19991025,5186,5186,4950,5013,206391
19991026,5022,5131,4968,5040,111530
19991027,5059,5213,5022,5059,132132
19991028,5168,5168,4904,5049,196998
19991029,5004,5594,5004,5177,521252
19991101,5267,5504,5204,5313,247242
19991102,5404,5494,5267,5267,292772
19991103,5313,6058,5313,6058,641922
19991104,6357,6966,6285,6811,1643377
19991105,6539,6766,6366,6448,432943
19991108,6548,6548,5994,6039,415215
19991109,6357,6802,6276,6448,566430
19991110,6448,6448,6130,6130,288500
19991111,5812,6257,5812,6039,381048
19991112,5903,6176,5812,5885,315092
19991115,5958,6357,5731,6039,428693
19991116,6203,6403,6039,6085,474983
19991117,6176,6884,5812,6357,654937
19991118,6257,6584,6085,6103,447456
19991119,6085,7011,5903,6902,1562028
19991122,7011,7438,6829,6893,1047811
19991123,6639,7311,6566,6911,1052227
19991124,7075,7147,6167,6167,919775
19991125,5903,6330,5722,5731,660178
19991126,5467,5631,5040,5040,450275
19991129,4859,5540,4822,5077,396695
19991130,5086,5358,4995,5113,396078
19991201,5540,5722,5267,5422,585127
19991202,5358,5449,5040,5049,338369
19991203,5049,5267,4968,5086,222500
19991206,5040,5177,4913,4913,224603
19991207,4995,5177,4495,4632,231716
19991208,4550,4632,4268,4632,262338
19991209,4686,4786,4450,4541,249840
19991210,4459,5086,4377,4822,431269
19991213,5004,5177,4859,4922,295977
19991214,4922,5177,4750,4904,347916
19991215,4931,5086,4641,4650,325101
19991216,4723,4850,4604,4677,285902
19991217,4632,4859,4450,4505,193816
19991220,4750,4750,4405,4432,148638
19991221,4268,4359,3905,4087,203010
19991222,3769,4078,3642,3651,236748
19991223,3460,3751,3460,3624,246900
19991224,3506,3814,3506,3724,232179
19991227,3642,3814,3587,3624,126417
19991228,3633,3674,3342,3342,175527
20000104,3342,3724,3342,3660,113446
20000105,3660,3969,3660,3860,136867
20000106,4087,4087,3501,3560,112037
20000107,3483,3678,3460,3615,72529
20000110,3633,3678,3587,3646,171045
20000111,3637,3769,3224,3678,146391
20000112,3678,3678,3551,3556,96710
20000113,3460,3605,3460,3496,63016
20000114,3478,3578,3451,3483,120725
20000117,3587,3615,3487,3496,112103
20000118,3487,3492,3378,3456,95267
20000119,3460,3478,3269,3279,137329
20000120,3233,3769,3079,3769,314409
20000121,3842,4196,3678,3814,666333
20000124,3905,4169,3751,3896,316017
20000125,3819,4196,3783,3860,253936
20000126,4132,4132,3678,3678,151930
20000127,3533,3896,3496,3769,198441
20000128,3814,3823,3692,3742,124755
20000131,3705,3978,3610,3737,171640
20000201,3728,3896,3696,3755,145874
20000202,3737,4318,3733,4318,515790
20000203,4359,4427,4110,4159,551598
20000207,4314,4314,4064,4064,204662
20000208,4060,4178,3842,3932,168006
20000209,3905,3991,3733,3760,169867
20000210,3683,3760,3542,3633,165749
20000211,3524,3615,3460,3546,146425
20000214,3592,3596,3279,3383,87736
20000215,3288,3842,3288,3678,163437
20000216,3724,3769,3542,3569,141745
20000217,3615,3860,3587,3787,164978
20000218,3860,4069,3696,3733,248695
20000221,3678,3724,3460,3469,142031
20000222,3451,3628,3451,3451,101753
20000223,3388,3951,3388,3724,203131
20000224,3987,4087,3724,4014,503062
20000225,3951,4178,3769,3969,405041
20000228,4087,4350,3823,4105,529664
20000229,4314,4713,4132,4268,771996
20000302,4268,4405,3905,3964,510142
20000303,3996,3996,3605,3742,428076
20000306,3769,4300,3769,4268,607931
20000307,4250,4250,3814,3960,486215
20000308,3960,4268,3842,3996,341474
20000309,4087,4523,4028,4205,849723
20000310,4250,4486,4119,4450,481931
20000313,4632,5113,4559,4859,1228932
20000314,5086,5086,4368,4723,549748
20000315,4704,4904,4178,4182,421183
20000316,4087,4359,3996,4096,346892
20000317,4141,4268,3932,3955,243894
20000320,3864,4105,3864,3887,184864
20000321,3864,3905,3755,3760,164317
20000322,3724,3969,3633,3905,322150
20000323,3901,4069,3724,3733,219164
20000324,3833,4141,3769,3996,418508
20000327,3914,4214,3914,3923,229635
20000328,4078,4169,3905,3987,330089
20000329,3978,4005,3660,3760,277335
20000330,3724,3814,3605,3605,203451
20000331,3424,3742,3424,3578,173611
20000403,3478,3724,3469,3478,160783
20000404,3433,3624,3269,3378,139532
20000406,3360,3451,3324,3351,88440
20000407,3374,3478,3351,3415,114514
20000410,3460,3678,3410,3542,136977
20000411,3542,3542,3365,3369,93186
20000412,3406,3442,3342,3369,97844
20000414,3360,3360,3233,3347,83706
20000417,3224,3224,2847,2879,148649
20000418,2997,3142,2906,2933,95741
20000419,3079,3088,2970,3015,90356
20000420,2834,3042,2834,2874,87725
20000421,2942,3065,2906,3015,114228
20000424,3015,3315,2906,3160,131427
20000425,3088,3088,2979,2979,102744
20000426,3061,3061,2874,2906,98978
20000427,2861,2861,2652,2815,151468
20000428,2734,2870,2679,2725,110584
20000502,2906,2988,2820,2820,117487
20000503,2770,2815,2734,2770,81228
20000504,2770,2933,2770,2797,181902
20000508,2797,2861,2797,2815,143749
20000509,2815,2856,2756,2788,71439
20000510,2738,2834,2725,2747,201149
20000512,2743,2802,2684,2702,137803
20000515,2702,2720,2488,2497,131802
20000516,2298,2452,2280,2389,107875
20000517,2416,2452,2098,2098,82208
20000518,1825,2089,1825,1889,100850
20000519,1925,1998,1825,1998,73509
20000522,2261,2298,2134,2298,343071
20000523,2334,2334,2089,2098,249235
20000524,2125,2370,1803,2225,247407
20000525,2379,2552,2270,2543,232542
20000526,2493,2706,2243,2334,243300
20000529,2316,2570,2243,2370,128201
20000530,2416,2497,2379,2379,78938
20000531,2389,2734,2389,2734,323251
20000601,2815,2988,2588,2656,303872
20000602,2656,2774,2461,2570,152348
20000605,2570,2820,2570,2734,291561
20000607,2815,2952,2743,2870,223128
20000608,2961,2988,2588,2679,152657
20000609,2743,2897,2643,2752,206126
20000612,2770,2815,2616,2652,98405
20000613,2661,2725,2497,2497,123885
20000614,2543,2634,2461,2461,59845
20000615,2466,2470,2316,2325,84994
20000616,1980,2398,1980,2361,76526
20000619,2270,2389,2270,2280,49791
20000620,2280,2452,2280,2452,77077
20000621,2820,2820,2820,2820,124105
20000622,3242,3242,3242,3242,147404
20000623,3728,3728,3106,3120,2357632
20000626,3124,3224,2915,2942,545531
20000627,2997,3351,2824,3088,855768
20000628,3088,3251,2952,2997,458764
20000629,2952,3251,2952,3006,254641
20000630,2961,3151,2961,3133,130359
20000703,3601,3601,3496,3601,265762
20000704,3678,4137,3460,3814,1163086
20000705,3805,4041,3496,3696,321357
20000706,3560,3714,3360,3560,297353
20000707,3388,3724,3388,3551,248222
20000710,3496,3705,3496,3569,240921
20000711,3651,3651,3415,3419,214594
20000712,3433,3842,3433,3451,302022
20000713,3496,3542,3315,3496,122729
20000714,3451,3533,3315,3333,87780
20000718,3360,3360,3160,3170,56398
20000719,3079,3179,2970,2997,126539
20000720,2915,3306,2915,3242,193453
20000721,3215,3496,3215,3315,188542
20000724,3406,3406,3229,3229,121440
20000725,3097,3179,2906,3179,84564
20000726,3233,3315,3133,3315,109196
20000727,3351,3542,3269,3537,151457
20000728,3533,3724,3378,3542,298102
20000731,3478,3615,3397,3533,135491
20000801,3465,3578,3451,3578,119811
20000802,3528,3705,3506,3506,94992
20000803,3542,3565,3496,3506,85511
20000804,3456,3551,3388,3492,93516
20000807,3456,3469,3306,3324,45266
20000808,3324,3451,3179,3260,61144
20000809,3315,3451,3179,3451,102898
20000810,3369,3542,3365,3460,72540
20000811,3533,3724,3406,3610,338413
20000814,3951,4150,3724,3996,1087539
20000816,3987,4450,3860,4205,636350
20000817,4087,4523,3860,4314,468641
20000818,4268,4359,4041,4178,327589
20000821,3932,4223,3932,4087,174238
20000822,3996,4105,3633,3796,297518
20000823,3733,3905,3724,3905,231892
20000824,3960,4359,3860,4078,454503
20000825,4010,4169,3887,3905,186989
20000828,3905,3996,3787,3819,243267
20000829,3746,3878,3746,3787,153406
20000830,3842,3869,3705,3860,225429
20000831,3873,3878,3664,3664,154969
20000901,3683,3905,3592,3905,191162
20000904,3814,3842,3733,3733,125492
20000905,3678,3696,3587,3678,173677
20000906,3692,3714,3615,3669,117190
20000907,3569,3633,3460,3460,218206
20000908,3478,3587,3288,3587,148572
20000914,3465,3660,3465,3528,81911
20000915,3587,3619,3496,3578,198694
20000918,3633,3633,3042,3269,187066
20000919,3224,3397,3088,3269,95752
20000920,3306,3437,3279,3360,179843
20000921,3297,3374,3279,3315,109537
20000922,3269,3333,3133,3215,121352
20000925,3133,3333,3133,3324,45761
20000926,3288,3506,3279,3496,87670
20000927,3419,3560,3406,3560,72772
20000928,3678,3678,3519,3551,90169
20000929,3474,3651,3474,3624,121969
20001002,3624,3624,3542,3546,36226
20001004,3524,3633,3524,3633,41082
20001005,3615,4132,3615,4114,304620
20001006,4087,4314,3937,4178,239204
20001009,4178,4477,4010,4132,302594
20001010,4359,4359,4041,4132,118038
20001011,4019,4178,3905,4087,203726
20001012,4169,4259,4055,4196,111872
20001013,4178,4350,4005,4178,238092
20001016,4268,4486,4228,4377,320025
20001017,4405,5013,4377,4677,688003
20001018,4632,4904,4550,4741,451563
20001019,4632,5331,4632,5222,553008
20001020,5267,5404,5095,5213,499318
20001023,5304,5440,5222,5295,244555
20001024,5295,5540,4986,5322,323273
20001025,5404,5404,5240,5331,123279
20001026,5331,5712,5295,5549,314717
20001027,5722,6076,5631,5767,513280
20001030,5858,6039,5195,5304,653682
20001031,5177,5213,4514,4895,441752
20001101,4904,5249,4904,5077,251800
20001102,4822,5095,4813,5031,202746
20001103,4995,5449,4995,5449,173842
20001106,5449,5649,5177,5267,300491
20001107,5449,5476,5004,5367,261776
20001108,5376,5676,5376,5449,231903
20001109,5449,5985,5449,5649,435531
20001110,5676,5976,5649,5803,246328
20001113,5903,5903,5204,5267,284503
20001114,5267,5476,5104,5222,208637
20001115,5358,5358,4813,5086,710675
20001116,5168,5168,4813,5168,271620
20001117,5531,5531,4995,4995,255863
20001120,4641,5086,4641,5086,221046
20001121,4995,5267,4832,5068,262800
20001122,5086,5086,4723,4922,242991
20001123,4750,4813,4187,4187,377877
20001124,3560,3769,3560,3560,1067664
20001127,3619,3742,3560,3669,408003
20001128,3678,3724,3560,3587,271631
20001129,3506,3542,3269,3360,267832
20001130,3288,3451,3269,3297,195842
20001201,3192,3742,3179,3678,282411
20001204,3724,3769,3546,3633,170142
20001205,3678,3724,3587,3587,96214
20001206,3551,3714,3551,3587,111663
20001207,3628,3628,3406,3515,67409
20001208,3465,3860,3465,3724,125470
20001211,3724,3810,3592,3633,88077
20001212,3633,3724,3451,3451,77374
20001213,3406,3501,3406,3451,95102
20001214,3451,3478,3365,3451,94331
20001215,3415,3442,3351,3369,74555
20001218,3297,3483,3297,3451,92250
20001219,3451,3451,3342,3388,61849
20001220,3301,3369,2883,2883,175868
20001221,2811,3174,2588,3142,109119
20001222,3224,3342,3006,3129,102556
20001226,2997,3115,2906,3061,105034
20010102,2815,3242,2815,3088,80402
20010103,3133,3179,2970,3051,45640
20010104,3097,3496,3092,3406,248662
20010105,3360,3633,3279,3360,164317
20010108,3487,3487,3269,3315,86634
20010109,3315,3397,3224,3360,115384
20010110,3360,3542,3051,3051,254817
20010111,3106,3269,3106,3142,201160
20010112,3224,3233,3133,3138,230208
20010115,3142,3201,3070,3151,256535
20010116,3151,3342,3070,3115,196481
20010117,3074,3156,3051,3051,99716
20010118,3051,3120,2997,2997,180746
20010119,2997,3074,2952,2997,138111
20010122,3011,3188,3011,3106,151809
20010126,3142,3142,2979,3024,111530
20010129,2997,3061,2997,3020,109031
20010130,3033,3115,3024,3070,186637
20010131,3070,3133,3024,3042,204222
20010201,3083,3111,3033,3061,171772
20010202,3061,3083,3006,3024,155641
20010205,2997,2997,2933,2933,98130
20010206,2861,2915,2847,2879,107589
20010207,2865,3051,2865,2942,167467
20010208,3024,3024,2897,2938,67497
20010209,2979,3020,2924,2961,95950
20010212,2952,3020,2924,2956,128124
20010213,2979,3315,2952,3088,375708
20010214,3188,3219,3106,3151,460702
20010215,3188,3229,3111,3133,198210
20010216,3219,3601,3179,3601,636042
20010219,3705,4050,3551,3560,2326580
20010220,3583,3678,3456,3542,627685
20010221,3660,3769,3542,3542,510857
20010222,3542,3746,3542,3642,674504
20010223,3751,3787,3551,3551,415061
20010226,3596,3705,3569,3633,266720
20010227,3660,3724,3587,3596,238565
20010228,3542,3687,3542,3633,245194
20010302,3633,3951,3601,3805,690261
20010305,3951,4373,3951,4373,808013
20010306,4586,4623,4087,4178,2019768
20010307,4178,4287,4023,4087,566023
20010308,4169,4173,3987,4069,380354
20010309,4023,4400,4023,4200,909006
20010312,4250,4259,3996,4014,313925
20010313,3646,3805,3596,3633,306712
20010314,3724,3787,3683,3769,219097
20010315,3633,3687,3542,3633,150124
20010316,3633,4060,3633,3914,510263
20010319,4023,4082,3869,3878,483462
20010320,3946,3978,3851,3887,168942
20010321,3869,4259,3869,4014,946851
20010322,4023,4078,3860,3882,335947
20010323,3851,4005,3833,3910,376556
20010326,3987,4073,3937,3969,515504
20010327,3910,3960,3851,3864,384373
20010328,3923,4001,3833,3842,486391
20010329,3570,3718,3474,3555,365799
20010330,3550,3555,3293,3302,444170
20010402,3426,3455,3178,3197,278899
20010403,3183,3183,2992,3035,216286
20010404,2873,3026,2873,2978,106859
20010406,3088,3092,3026,3026,109237
20010409,3026,3083,2997,3016,92547
20010410,3021,3135,3021,3116,200706
20010411,3131,3278,3121,3150,190836
20010412,3159,3197,3078,3159,125205
20010413,3197,3216,3126,3188,103527
20010416,3207,3245,3150,3150,74714
20010417,3193,3388,3154,3269,222457
20010418,3236,3546,3236,3393,371205
20010419,3493,3498,3264,3341,219356
20010420,3321,3407,3274,3307,131167
20010423,3341,3369,3259,3331,147302
20010424,3250,3331,3226,3226,79984
20010425,3245,3274,3197,3202,106283
20010426,3212,3436,3178,3274,163605
20010427,3293,3341,3207,3245,68239
20010430,3321,3369,3255,3369,154972
20010502,3426,3460,3321,3355,123340
20010503,3383,3383,3307,3312,87916
20010504,3312,3808,3312,3808,894586
20010507,3913,4056,3675,3818,701057
20010508,3818,3865,3703,3865,278008
20010509,3865,3904,3780,3799,188594
20010510,3775,3865,3732,3741,158733
20010511,3741,3799,3722,3751,134509
20010514,4309,4309,4123,4309,831616
20010515,4572,4934,4152,4209,2674539
20010516,4295,4295,3961,3990,530714
20010517,4085,4190,3999,4028,499764
20010518,3923,4028,3923,3951,299110
20010521,4099,4176,4042,4075,356851
20010522,4133,4362,4095,4219,641660
20010523,4233,4357,4199,4257,328112
20010524,4228,4390,4152,4390,249761
20010525,4400,4534,4352,4524,317655
20010528,4758,5202,4724,5202,1554289
20010529,5450,5488,5154,5316,1362446
