일자,시가,고가,저가,종가,거래량
19990916,54969,55233,52858,52858,249129
19990917,52330,53650,51979,52858,143444
19990920,52330,53650,52330,53210,110653
19990921,52770,53650,52770,52770,189334
19990922,52770,53210,51011,51715,139578
19990927,51715,52594,48988,49164,142955
19990928,49164,50923,49164,49692,123956
19990929,50484,50484,48373,48373,146821
19990930,48373,49604,47053,47141,322556
19991001,47053,47493,43975,45294,259328
19991004,44239,46438,43975,43975,245161
19991005,44063,44415,39666,40281,288026
19991006,40897,42656,38698,42216,407195
19991007,43272,44767,41776,43887,441555
19991008,43272,44151,42656,42920,325228
19991011,43975,44767,43008,43360,162546
19991012,43096,45822,43096,45294,188685
19991013,45206,45206,44063,44855,120636
19991014,44415,46086,44239,45734,195746
19991015,46614,48285,46262,47493,313177
19991018,44415,46614,44151,45119,120875
19991019,45734,46790,44063,44503,176781
19991020,46526,50835,45734,47757,750866
19991021,49076,49516,45294,46438,305683
19991022,45998,46614,45294,46438,125820
19991025,45998,46438,44151,44767,125786
19991026,43184,45646,43184,44679,158532
19991027,44855,45558,44415,44679,174302
19991028,44063,46262,43535,46086,176815
19991029,46614,47757,46438,46614,270891
19991101,47581,49780,47493,49516,252733
19991102,49516,50484,48461,49604,207492
19991103,49692,51187,48724,50396,183205
19991104,50835,51627,49780,51011,240931
19991105,52330,53562,51011,51187,318782
19991108,51187,53474,50835,51539,275052
19991109,51891,55409,51715,54969,800906
19991110,55321,57344,52946,54177,630836
19991111,54617,55233,51891,54529,354768
19991112,54529,57520,52946,54969,495222
19991115,54529,56288,53122,54002,317080
19991116,54265,55321,53034,53210,255826
19991117,54265,54265,51275,52682,457019
19991118,51539,52594,50659,51099,303318
19991119,50659,53122,50571,53122,322375
19991122,52770,54881,52067,52418,276794
19991123,51627,52770,51451,51891,122398
19991124,51363,51451,50659,51187,130619
19991125,50132,51803,50132,50220,215075
19991126,49780,49780,46965,47493,211630
19991129,48285,48285,43975,45294,272881
19991130,45294,46702,44767,45294,449908
19991201,45558,46438,41601,41908,690923
19991202,43096,43975,41073,41073,612140
19991203,42128,42920,41776,42436,368321
19991206,42216,42436,40633,40897,410386
19991207,40457,40633,37819,37819,568366
19991208,37907,38610,35708,36499,643076
19991209,36060,37731,35708,37687,494085
19991210,38170,42656,38170,41161,696131
19991213,43799,43799,41337,41337,470879
19991214,41337,41776,39666,40633,390140
19991215,40017,41161,39226,39666,239362
19991216,39578,40017,37643,38522,207617
19991217,38786,38786,37115,37291,289856
19991220,39138,39314,37819,38346,231960
19991221,37995,38170,35972,36499,269458
19991222,35620,36060,33861,35708,524515
19991223,35189,35613,33302,33302,511933
19991224,33585,34623,32642,33349,376754
19991227,33962,35094,33585,34151,298463
19991228,33774,35283,33019,34151,285043
20000104,34151,39245,34151,38208,271252
20000105,38208,38679,36321,36321,268072
20000106,36887,37217,33019,33396,214490
20000107,33679,34717,33679,34717,260398
20000110,36793,39906,35944,39906,789506
20000111,40095,40566,38208,39057,1006741
20000112,37642,38208,35472,35566,551589
20000113,36793,38679,36132,37642,598876
20000114,38113,38396,36321,36368,311373
20000117,35944,37076,35378,36981,281248
20000118,36132,36368,34670,36132,692378
20000119,35378,35472,34245,34340,269673
20000120,33396,35283,32925,33962,379446
20000121,33491,35189,33208,35189,395251
20000124,34434,34906,33444,33491,399395
20000125,33019,33302,31981,31981,337820
20000126,32076,32925,29906,30661,551017
20000127,30189,33302,29811,32076,733729
20000128,32170,34340,31698,33066,719111
20000131,32264,36793,32123,36793,743025
20000201,37736,38585,35991,36462,649756
20000202,36321,41415,36321,40566,1449639
20000203,41227,45519,40849,44245,1831195
20000207,42547,44812,41604,42453,934343
20000208,42359,44245,41510,42264,534248
20000209,43113,43113,41557,42264,651102
20000210,40849,41510,38208,39151,531746
20000211,38774,40472,37264,38208,493364
20000214,38113,38113,35944,36227,445060
20000215,36227,37642,35425,35849,609550
20000216,37359,40566,36415,37547,1298971
20000217,37736,37736,35944,37359,407165
20000218,36038,37076,35944,36132,414119
20000221,36132,36132,33774,33774,344700
20000222,33868,35000,31887,32076,545834
20000223,33774,36274,32642,33962,761246
20000224,32925,33491,32076,32736,329224
20000225,31793,33019,31604,32359,345283
20000228,31227,31604,30708,30708,369217
20000229,31227,31981,29670,30330,376468
20000302,29859,32453,29859,30849,445929
20000303,31132,31793,30283,30944,367712
20000306,31227,33019,30991,33019,558840
20000307,32170,32642,28066,31510,449523
